section,name,type,title,go-to-url,go-to-title,,,,,,,,,
Coupons-Store-Carousel,section6,catagory-carousel-no-text,Find the Best Deals Online,https://iprice.my/coupons/stores/,All Stores,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Booking.com Promo Code,https://a.ipricegroup.com/store/bookingcom-my.jpg,https://iprice.my/coupons/bookingcom/,,,,,,
,,,,,,Fave Promo Code,https://a.ipricegroup.com/store/fave-my.jpg,https://iprice.my/coupons/fave/,,,,,,
,,,,,,Lazada Voucher,https://a.ipricegroup.com/store/lazada-my.jpg,https://iprice.my/coupons/lazada/,,,,,,
,,,,,,Shopee Promo Code,https://a.ipricegroup.com/store/shopee-my.jpg,https://iprice.my/coupons/shopee/,,,,,,
,,,,,,Zalora Promo Code,https://a.ipricegroup.com/store/zalora-my.jpg,https://iprice.my/coupons/zalora/,,,,,,
,,,,,,GrabFood Promo Code,https://a.ipricegroup.com/store/grabfood-my.jpg,https://iprice.my/coupons/grabfood/,,,,,,
,,,,,,SOCAR,https://a.ipricegroup.com/store/socar-my.jpg,https://iprice.my/coupons/socar/,,,,,,
,,,,,,Agoda Promo Code,https://a.ipricegroup.com/store/agoda-my.jpg,https://iprice.my/coupons/agoda/,,,,,,
,,,,,,Expedia Promo Code,https://a.ipricegroup.com/store/expedia-my.jpg,https://iprice.my/coupons/expedia/,,,,,,
,,,,,,Groupon,https://a.ipricegroup.com/store/groupon-my.jpg,https://iprice.my/coupons/groupon/,,,,,,
,,,,,,Hermo Promo Code,https://a.ipricegroup.com/store/hermo-my.jpg,https://iprice.my/coupons/hermo/,,,,,,
,,,,,,JD Sports,https://a.ipricegroup.com/store/jd-sports-my.jpg,https://iprice.my/coupons/jd-sports/,,,,,,
,,,,,,KKday Promo Code,https://a.ipricegroup.com/store/kkday-my.jpg,https://iprice.my/coupons/kkday/,,,,,,
,,,,,,Klook Promo Code,https://a.ipricegroup.com/store/klook-my.jpg,https://iprice.my/coupons/klook/,,,,,,
,,,,,,Malaysia Airlines Promotion,https://a.ipricegroup.com/store/malaysia.jpg,https://iprice.my/coupons/malaysia-airlines/,,,,,,
PLP-EL-BrandCategory-Carousel,section3,catagory-carousel,Compare the Best Prices in Electronics,,,items,,,,,,,,
,,,,,,brand-name,name,image-url,url,,,,,
,,,,,,OPPO,Smartphones,https://p.ipricegroup.com/uploaded_5e3155c5c7c078f86853cb104a7f7f3e.jpg,https://iprice.my/oppo/phones-tablets/smartphones/,,,,,
,,,,,,Acer,Laptops,https://p.ipricegroup.com/uploaded_ee01c45d904d866957cce7ca35cc14ea.jpg,https://iprice.my/acer/computing/laptops/,,,,,
,,,,,,Canon,Camera & Photo,https://p.ipricegroup.com/a937ce3dfcf660ff17443af17b16d74ce74af5e0_0.jpg,https://iprice.my/canon/camera-photo/,,,,,
