Thịt Bò,220000
Thịt Ức Bò,299000
Thịt Lườn Bò,220000
Thịt Bắp Bò,279000
Thịt Thăn Bò,220000
Thịt Gân Bò,180000
Tim Bò,200000
Gan Bò,50000
Bao Tử Bò,200000
Móng Bò,150000
Đuôi Bò,230000
Thịt Thỏ,65000
Thịt Heo,80000
Thịt Nạc Vai,96000
Thịt Vai Heo,10000
Thịt Nạc Xay,109000
Thịt Ba Chỉ,85000
Tai Heo,90000
Phi lê Heo,128000
Tim Heo,160000
Bao Tử Heo,105000
Dồi Trường,200000
Lưỡi Heo,120000
Óc Heo,32000
Phèo Non,125000
Cật Heo,146000
Móng Heo,106000
Đuôi Heo,159000
Sườn Non Heo,186000
Thịt Cốt Lết,102000
Thịt Nạc Dăm,106000
Giò Heo,96000
Xương Ống Heo,40000
Vú Heo,140000
Thịt Trâu,210000
Thịt Cừu,150000
Thịt Dê,190000
Vú Dê,170000
Thịt Heo Rừng,150000
Thịt Heo Mọi,135000
Thịt Nhím,58000
Thịt Chuột Đồng,120000
Thịt Chuột Dừa,150000
Thịt Cá Sấu, 170000
Thịt Bê,220000
Thịt Bò Tơ Củ Chi,275000
