section,name,type,title,go-to-url,go-to-title,,,,,,,,,
Coupons-Store-Carousel,section6,catagory-carousel-no-text,Popular Coupon Stores,https://iprice.my/coupons/stores/,All Stores,items,,,,,,,,
,,,,,,name,image-url,url,,,,,,
,,,,,,Lazada,https://a.ipricegroup.com/store/lazada-my.jpg,https://iprice.my/coupons/lazada/,,,,,,
,,,,,,Zalora,https://a.ipricegroup.com/store/zalora-my.jpg,https://iprice.my/coupons/zalora,,,,,,
,,,,,,Shopee,https://a.ipricegroup.com/store/shopee-my.jpg,https://iprice.my/coupons/shopee,,,,,,
,,,,,,11street,https://a.ipricegroup.com/store/11street-my.jpg,https://iprice.my/coupons/11street,,,,,,
,,,,,,Kkday,https://a.ipricegroup.com/store/kkday-my.jpg,https://iprice.my/coupons/kkday,,,,,,
,,,,,,Klook,https://a.ipricegroup.com/store/klook-my.jpg,https://iprice.my/coupons/klook,,,,,,
,,,,,,Malaysia Airlines,https://a.ipricegroup.com/store/malaysia.jpg,https://iprice.my/coupons/malaysia-airlines/,,,,,,
,,,,,,Grabfood,https://a.ipricegroup.com/store/grabfood-my.jpg,https://iprice.my/coupons/grabfood,,,,,,
,,,,,,Expedia,https://a.ipricegroup.com/store/expedia-my.jpg,https://iprice.my/coupons/expedia,,,,,,
,,,,,,Agoda,https://a.ipricegroup.com/store/agoda-my.jpg,https://iprice.my/coupons/agoda,,,,,,
,,,,,,Fave,https://a.ipricegroup.com/store/fave-my.jpg,https://iprice.my/coupons/fave,,,,,,
,,,,,,Traveloka,https://a.ipricegroup.com/store/traveloka-my.jpg,https://iprice.my/coupons/traveloka,,,,,,
,,,,,,Socar,https://a.ipricegroup.com/store/socar-my.jpg,https://iprice.my/coupons/socar,,,,,,
,,,,,,OYO,https://a.ipricegroup.com/store/oyo-my.jpg,https://iprice.my/coupons/oyo/,,,,,,
,,,,,,Farfetch,https://a.ipricegroup.com/store/farfetch-my.jpg,https://iprice.my/coupons/farfetch/,,,,,,
,,,,,,Fashion Valet,https://a.ipricegroup.com/store/fashionvalet.jpg,https://iprice.my/coupons/fashionvalet/,,,,,,
PLP-EL-BrandCategory-Carousel,section3,catagory-carousel,You might like,,,items,,,,,,,,
,,,,,,brand-name,name,image-url,url,,,,,
,,,,,,Huawei,Mobile Phones,https://d1ry3pze7o2kc.cloudfront.net/uploaded_124a674d7622410fa7b072c2c666beed.jpg,/huawei/phones-tablets/smartphones/,,,,,
