L0,Page Type,Type Template,Value Template,Key
electronics,category,title,"Mua [[category]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_category_title
electronics,category_gender,title,Sản phẩm [[category]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_category_gender_title
electronics,brand_category,title,"Mua [[category]] [[brand]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_brand_category_title
electronics,brand,title,"Mua [[brand]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_brand_title
electronics,brand_gender,title,Chính hãng [[brand]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_gender_title
electronics,brand_category_gender,title,Sản phẩm [[category]] [[brand]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_category_gender_title
electronics,category,meta,"Mua [[category]] giá rẻ chính hãng cập nhật [[month]] [[year]]. Tìm kiếm, đánh giá và so sánh giá [[category]] tốt nhất từ Lazada, Tiki, Adayroi.",plp.electronics.default_category_meta
electronics,category_gender,meta,Mua sắm sản phẩm [[category]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_category_gender_meta
electronics,brand_category,meta,"Mua [[category]] [[brand]] giá rẻ chính hãng cập nhật [[month]] [[year]]. Tìm kiếm, đánh giá và so sánh giá tốt nhất [[product1]], [[product2]], [[product3]].",plp.electronics.default_brand_category_meta
electronics,brand,meta,"Mua[[categoryBrand1]][[categoryBrand2]][[categoryBrand3]] giá rẻ nhất sau khi so sánh giá từ Lazada, Tiki, Adayroi. Có trả góp, giao hàng miễn phí, bảo hành chính hãng.",plp.electronics.default_brand_meta
electronics,brand_gender,meta,Mua sắm sản phẩm chính hãng [[brand]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_gender_meta
electronics,brand_category_gender,meta,Mua sắm sản phẩm [[category]] [[brand]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_category_gender_meta
electronics,category,h1,Mua [[category]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_category_h1
electronics,category_gender,h1,[[category]] cho [[gender]],plp.electronics.default_category_gender_h1
electronics,brand_category,h1,Mua [[category]] [[brand]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_brand_category_h1
electronics,brand,h1,Mua [[brand]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_brand_h1
electronics,brand_gender,h1,[[brand]] cho [[gender]],plp.electronics.default_brand_gender_h1
electronics,brand_category_gender,h1,[[category]] [[brand]] cho [[gender]],plp.electronics.default_brand_category_gender_h1
electronics,brand_series,title,"Mua [[brand]] [[series]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_brand_series_title
electronics,brand_series,meta,"Mua[[category1]] giá rẻ chính hãng cập nhật [[month]] [[year]]. Tìm kiếm, đánh giá và so sánh giá[[category1]] tốt nhất từ Lazada, Tiki, Adayroi.",plp.electronics.default_brand_series_meta
electronics,brand_series,h1,Mua [[brand]] [[series]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_brand_series_h1
electronics,brand_series_model,title,[[brand]] [[series]] [[model]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_series_model_title
electronics,brand_series_model,meta,Mua sắm [[brand]] [[series]] [[model]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_series_model_meta
electronics,brand_series_model,h1,[[brand]] [[series]] [[model]],plp.electronics.default_brand_series_model_h1
electronics,brand_series_gender,title,[[brand]] [[series]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_series_gender_title
electronics,brand_series_gender,meta,Mua sắm [[brand]] [[series]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_series_gender_meta
electronics,brand_series_gender,h1,[[brand]] [[series]] cho [[gender]],plp.electronics.default_brand_series_gender_h1
