L0,Page Type,Template Type,Value,Key (READ-ONLY)
,,,%1$s Coupons for %2$s,plp.electronics.default_store_og_title
,,,%1$s Discount Code and Voucher for %2$s | %3$s,plp.electronics.default_store_title
,,,"Latest %1$s Discount Codes for %2$s at iPrice %3$s. Save up to 70%%, get the best deals and promotions. ✂ Exclusive Offers ✂ Verified Codes",plp.electronics.default_store_meta
,,,[[store]],plp.electronics.default_store_heading
,,,[[heading]] Promo Code [[country]],plp.electronics.default_store_h1
,,,"[[category]] Price in [[country]] for [[month]], [[year]] | iPrice",plp.electronics.default_category_title
,,,[[category]] for [[gender]] | The best prices online in [[country]] | iPrice,plp.electronics.default_gender_category_title
,,,"[[brand]] [[category]] Price in [[country]] for [[month]], [[year]] | iPrice",plp.electronics.default_brand_category_title
,,,"[[brand]] Price in [[country]] for [[month]], [[year]] | iPrice",plp.electronics.default_brand_title
,,,[[brand]] for [[gender]] | The best prices online in [[country]] | iPrice,plp.electronics.default_brand_gender_title
,,,[[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice,plp.electronics.default_brand_gender_category_title
,,,"[[[month]], [[year]]] The cheapest [[brand]] [[category]] price in [[country]] starts from S$ [[lowestPrice]]. Compare top models from the best [[category]] in [[country]], buy new/second-hand units, the best specs, latest review, and more from iPrice!",plp.electronics.default_category_meta
,,,Buy the newest [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_gender_category_meta
,,,"[[[month]], [[year]]] The cheapest [[brand]] [[category]] price in [[country]] starts from S$ [[lowestPrice]]. Compare top models from [[brand]] [[category]] in [[country]], buy new/second-hand units, the best specs, latest review, and more from iPrice!",plp.electronics.default_brand_category_meta
,,,"[[[month]], [[year]]] The cheapest [[brand]] price in [[country]] starts from S$ [[lowestPrice]]. Compare top models from [[brand]] [[country]], compare new/second-hand price, the best specs, latest review, and more from iPrice!",plp.electronics.default_brand_meta
,,,Buy the newest [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_brand_gender_meta
,,,Buy the newest [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_brand_gender_category_meta
,,,[[category]],plp.electronics.default_category_heading
,,,"[[category]] Price in [[country]] [[month]], [[year]]",plp.electronics.default_category_h1
,,,[[category]] for [[gender]],plp.electronics.default_gender_category_heading
,,,[[heading]],plp.electronics.default_gender_category_h1
,,,[[brand]] [[category]],plp.electronics.default_brand_category_heading
,,,"[[brand]] [[category]] Price in [[country]] [[month]], [[year]]",plp.electronics.default_brand_category_h1
,,,[[brand]],plp.electronics.default_brand_heading
,,,"[[brand]] Price in [[country]] [[month]], [[year]]",plp.electronics.default_brand_h1
,,,[[brand]] for [[gender]],plp.electronics.default_brand_gender_heading
,,,[[heading]],plp.electronics.default_brand_gender_h1
,,,[[brand]] [[category]] for [[gender]],plp.electronics.default_brand_gender_category_heading
,,,[[heading]],plp.electronics.default_brand_gender_category_h1
,,,%1$s,plp.electronics.default_search_og_title
,,,%1$s - Buy %1$s online in %2$s | iPrice,plp.electronics.default_search_title
,,,"Find, Compare & Buy %1$s for great prices online ★ Discover the latest %1$s trends and promotions. ✓ Large Selection ✓ Trusted Stores ✓ Best Offers",plp.electronics.default_search_meta
,,,Buy %1$s online at iPrice %2$s,plp.electronics.default_search_heading
,,,%1$s,plp.electronics.default_blog_og_title
,,,[[heading]] | iPrice [[country]],plp.electronics.default_blog_title
,,,%1$s,plp.electronics.default_blog_meta
,,,%1$s,plp.electronics.default_blog_heading
,,,[[color]] [[category]] | The best prices online in [[country]] | iPrice,plp.electronics.default_category_color_title
,,,Buy the newest [[color]] [[category]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_category_color_meta
,,,[[color]] [[category]],plp.electronics.default_category_color_heading
,,,[[heading]],plp.electronics.default_category_color_h1
,,,[[color]] Products for [[gender]] | The best prices online in [[country]] | iPrice,plp.electronics.default_gender_color_title
,,,Buy the newest [[color]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_gender_color_meta
,,,[[color]] products for [[gender]],plp.electronics.default_gender_color_heading
,,,[[heading]],plp.electronics.default_gender_color_h1
,,,[[color]] products from [[brand]] | The best prices online in [[country]] | iPrice,plp.electronics.default_brand_color_title
,,,Buy the newest [[color]] products from [[brand]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_brand_color_meta
,,,[[color]] [[brand]],plp.electronics.default_brand_color_heading
,,,[[heading]],plp.electronics.default_brand_color_h1
,,,[[color]] products from [[brand]] for [[gender]] | The best prices online in [[country]] | iPrice,plp.electronics.default_brand_gender_color_title
,,,Buy the newest [[color]] [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_brand_gender_color_meta
,,,[[color]] products from [[brand]] for [[gender]],plp.electronics.default_brand_gender_color_heading
,,,[[heading]],plp.electronics.default_brand_gender_color_h1
,,,[[color]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice,plp.electronics.default_gender_category_color_title
,,,Buy the newest [[color]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products,plp.electronics.default_gender_category_color_meta
,,,[[color]] [[category]] for [[gender]],plp.electronics.default_gender_category_color_heading
,,,[[heading]],plp.electronics.default_gender_category_color_h1
,,,[[color]] [[brand]] [[category]] | The best prices online in [[country]] | iPrice,plp.electronics.default_brand_category_color_title
