L0,Page Type,Template Type,Value,Key (READ-ONLY)
,,,%1$s คูปองสำหรับ %2$s,plp.electronics.default_store_og_title
,,,"%1$s คูปอง, รหัสส่วนลด & บัตรกำนัล สำหรับ %2$s | %3$s",plp.electronics.default_store_title
,,,"รหัสส่วนลด  %1$s ล่าสุดสำหรับ %2$s ที่ iPrice %3$s & ประหยัดมากถึง 70%%, รับดีลและโปรโมชั่นที่ดีที่สุด. ✓ ข้อเสนอพิเศษ ✓ รหัสส่วนลด",plp.electronics.default_store_meta
,,,[[store]],plp.electronics.default_store_heading
,,,รหัสส่วนลด [[heading]] [[country]],plp.electronics.default_store_h1
,,,ซื้อ [[category]] ราคาถูก เช็คราคาล่าสุดจากทุกร้านที่นี่!,plp.electronics.default_category_title
,,,[[category]]สำหรับ[[gender]]|จากร้านค้าออนไลน์ที่ถูกที่สุดใน[[country]]| iPrice,plp.electronics.default_gender_category_title
,,,ซื้อ[[category]] [[brand]] ราคาถูก เช็คราคาล่าสุดจากทุกร้านที่นี่!,plp.electronics.default_brand_category_title
,,,สินค้า [[brand]] ราคาถูกที่สุดจากทุกร้านค้าออนไลน์,plp.electronics.default_brand_title
,,,ผลิตภัณฑ์[[brand]]สำหรับ[[gender]] |ราคาออนไลน์ที่ถูกที่สุดใน[[country]]| iPrice,plp.electronics.default_brand_gender_title
,,,[[category]][[brand]]สำหรับ[[gender]]|ราคาออนไลน์ที่ถูกที่สุดใน[[country]] | iPrice,plp.electronics.default_brand_gender_category_title
,,,ซื้อ [[category]] ราคาถูกและดีที่สุดในไทย เช็คราคาล่าสุด เปรียบเทียบราคา [[category]] ที่เดียวครบพร้อมรับส่วนลดกับโปรโมชั่นเพียบ,plp.electronics.default_category_meta
,,,ซื้อ[[category]]สำหรับ[[gender]]ในราคาลดกระหน่ำและโปรโมชั่นอื่นๆ★ ค้นหาข้อเสนอที่ดีที่สุด★ แสดงสินค้าทั้งหมดที่มีอยู่,plp.electronics.default_gender_category_meta
,,,ซื้อ[[category]] [[brand]] ราคาถูกและดีที่สุดในไทย เช็คราคาล่าสุด เปรียบเทียบราคา[[category]] [[brand]] ที่เดียวครบพร้อมรับส่วนลดกับโปรโมชั่นเพียบ,plp.electronics.default_brand_category_meta
,,,สินค้า [[brand]] ราคาถูกและดีที่สุดจากร้านค้าออนไลน์ชื่อดังในไทย เช็คราคาล่าสุดของสินค้า [[brand]] ที่เดียวครบสุดคุ้มพร้อมรับส่วนลดกับโปรโมชั่นเพียบ,plp.electronics.default_brand_meta
,,,ซื้อผลิตภัณฑ์[[brand]]สำหรับ[[gender]]ในราคาที่ถูกที่สุดและโปรโมชั่นอื่นๆ★ค้นหาข้อเสนอที่ดีที่สุด★แสดงสินค้าทั้งหมดที่มีอยู่,plp.electronics.default_brand_gender_meta
,,,ซื้อ[[category]][[brand]]สำหรับ[[gender]]ในราคาที่ถูกที่สุดและโปรโมชั่นอื่นๆ★ค้นหาข้อเสนอที่ดีที่สุด★ แสดงสินค้าทั้งหมดที่มีอยู่,plp.electronics.default_brand_gender_category_meta
,,,[[category]],plp.electronics.default_category_heading
,,,ราคา[[category]],plp.electronics.default_category_h1
,,,[[category]]สำหรับ[[gender]],plp.electronics.default_gender_category_heading
,,,[[heading]],plp.electronics.default_gender_category_h1
,,,[[category]][[brand]],plp.electronics.default_brand_category_heading
,,,ราคา[[category]] [[brand]],plp.electronics.default_brand_category_h1
,,,[[brand]],plp.electronics.default_brand_heading
,,,สินค้า [[brand]],plp.electronics.default_brand_h1
,,,[[brand]]สำหรับ[[gender]],plp.electronics.default_brand_gender_heading
,,,[[heading]],plp.electronics.default_brand_gender_h1
,,,[[category]][[brand]]สำหรับ[[gender]],plp.electronics.default_brand_gender_category_heading
,,,[[heading]],plp.electronics.default_brand_gender_category_h1
,,,%1$s,plp.electronics.default_search_og_title
,,,%1$s ที่ iPrice %2$s,plp.electronics.default_search_title
,,,"ค้นหา, เปรียบเทียบ & ซื้อ %1$s กับราคาพิเศษทางออนไลน์. ค้นพบสินค้าใหม่ๆที่ %1$s พร้อมโปรโมชั่น., ✓สินค้าคัดสรร ✓ร้านค้าที่ไว้ใจ ✓ข้อเสนอที่ดีที่สุด",plp.electronics.default_search_meta
,,,ซื้อ %1$s ออนไลน์ได้ที่ iPrice %2$s,plp.electronics.default_search_heading
,,,%1$s,plp.electronics.default_blog_og_title
,,,[[heading]] | iPrice [[country]],plp.electronics.default_blog_title
,,,%1$s,plp.electronics.default_blog_meta
,,,%1$s,plp.electronics.default_blog_heading
,,,[[category]][[color]]|ราคาที่ถูกที่สุดจากร้านค้าออนไลน์ใน[[country]] | iPrice,plp.electronics.default_category_color_title
,,,ซื้อ[[category]][[color]]ลดกระหน่ำและโปรโมชั่นอื่นๆ★ ค้นหาข้อเสนอที่ดีที่สุด★ แสดงสินค้าทั้งหมดที่มีอยู่,plp.electronics.default_category_color_meta
,,,[[category]] [[color]],plp.electronics.default_category_color_heading
,,,[[heading]],plp.electronics.default_category_color_h1
