L0,Page Type,Template Type,Value,Key (READ-ONLY)
,,,%1$s Coupon cho %2$s,plp.electronics.default_store_og_title
,,,%1$s - Mã coupon và voucher giảm giá %2$s | %3$s,plp.electronics.default_store_title
,,,Mã coupon %1$s %2$s tại iPrice %3$s. Tiết kiệm đến 70%% với nhiều khuyến mãi. ✂ Ưu đãi đặc biệt ✂ Mã coupon xác minh,plp.electronics.default_store_meta
,,,[[store]],plp.electronics.default_store_heading
,,,Mã giảm giá [[heading]] [[country]],plp.electronics.default_store_h1
,,,"Mua [[category]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_category_title
,,,Sản phẩm [[category]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_gender_category_title
,,,"Mua [[category]] [[brand]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_brand_category_title
,,,"Mua [[brand]] giá rẻ chính hãng, so sánh giá từ Lazada, Tiki, Adayroi.",plp.electronics.default_brand_title
,,,Chính hãng [[brand]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_gender_title
,,,Sản phẩm [[category]] [[brand]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_gender_category_title
,,,"Mua [[category]] giá rẻ chính hãng cập nhật [[month]] [[year]]. Tìm kiếm, đánh giá và so sánh giá [[category]] tốt nhất từ Lazada, Tiki, Adayroi.",plp.electronics.default_category_meta
,,,Mua sắm sản phẩm [[category]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_gender_category_meta
,,,"Mua [[category]] [[brand]] giá rẻ chính hãng cập nhật [[month]] [[year]]. Tìm kiếm, đánh giá và so sánh giá tốt nhất [[product1]], [[product2]], [[product3]].",plp.electronics.default_brand_category_meta
,,,"Mua[[categoryBrand1]][[categoryBrand2]][[categoryBrand3]] giá rẻ nhất sau khi so sánh giá từ Lazada, Tiki, Adayroi. Có trả góp, giao hàng miễn phí, bảo hành chính hãng.",plp.electronics.default_brand_meta
,,,Mua sắm sản phẩm chính hãng [[brand]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_gender_meta
,,,Mua sắm sản phẩm [[category]] [[brand]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_gender_category_meta
,,,[[category]],plp.electronics.default_category_heading
,,,Mua [[category]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_category_h1
,,,[[category]] cho [[gender]],plp.electronics.default_gender_category_heading
,,,[[heading]],plp.electronics.default_gender_category_h1
,,,[[category]] [[brand]],plp.electronics.default_brand_category_heading
,,,Mua [[category]] [[brand]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_brand_category_h1
,,,[[brand]],plp.electronics.default_brand_heading
,,,Mua [[brand]] giá rẻ nhất [[month]] [[year]],plp.electronics.default_brand_h1
,,,[[brand]] cho [[gender]],plp.electronics.default_brand_gender_heading
,,,[[heading]],plp.electronics.default_brand_gender_h1
,,,[[category]] [[brand]] cho [[gender]],plp.electronics.default_brand_gender_category_heading
,,,[[heading]],plp.electronics.default_brand_gender_category_h1
,,,%1$s,plp.electronics.default_search_og_title
,,,Mua %1$s online giá tốt ở %2$s | iPrice,plp.electronics.default_search_title
,,,Chọn mua %1$s giá tốt ★ Khám phá %1$s mới nhất. ✓ Sản phẩm chất lượng ✓ Cửa hàng uy tín ✓ Ưu đãi khổng lồ,plp.electronics.default_search_meta
,,,Mua %1$s trực tuyến tại iPrice %2$s,plp.electronics.default_search_heading
,,,%1$s,plp.electronics.default_blog_og_title
,,,[[heading]] | iPrice [[country]],plp.electronics.default_blog_title
,,,%1$s,plp.electronics.default_blog_meta
,,,%1$s,plp.electronics.default_blog_heading
,,,Sản phẩm [[category]] màu [[color]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_category_color_title
,,,Mua sắm sản phẩm [[category]] màu [[color]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_category_color_meta
,,,[[category]] màu [[color]],plp.electronics.default_category_color_heading
,,,[[heading]],plp.electronics.default_category_color_h1
,,,Những sản phẩm màu [[color]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_gender_color_title
,,,Mua sắm những sản phẩm màu [[color]] cho [[gender]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_gender_color_meta
,,,Sản phẩm màu [[color]] cho [[gender]],plp.electronics.default_gender_color_heading
,,,[[heading]],plp.electronics.default_gender_color_h1
,,,Những sản phẩm màu [[color]] chính hãng [[brand]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_color_title
,,,Mua sắm các sản phẩm màu [[color]] chính hãng [[brand]] mới ra mắt với chương trình khuyến mãi & ưu đãi mới nhất ★ Tìm kiếm ưu đãi giá rẻ ★ Không giới hạn trong lựa chọn,plp.electronics.default_brand_color_meta
,,,[[brand]] màu [[color]],plp.electronics.default_brand_color_heading
,,,[[heading]],plp.electronics.default_brand_color_h1
,,,Những sản phẩm màu [[color]] chính hãng [[brand]] cho [[gender]] | các ưu đãi giá trực tuyến tốt nhất tại [[country]] | iPrice,plp.electronics.default_brand_gender_color_title
