Huawei nova 3i	₱ 14,990.00	6	https://p.ipricegroup.com/uploaded_c2bf97ad64db14ec5d21000c2cd7d12a.jpg
OPPO F7	₱ 13,990.00	2	https://p.ipricegroup.com/uploaded_498dd38d23174a22ba540940118c6477.jpg
Oppo F9	₱ 16,899.00	3	https://p.ipricegroup.com/uploaded_21341b6cab21d9a89dffd046533a368a.jpg
Samsung Galaxy J6	₱ 9,500.00	3	https://p.ipricegroup.com/uploaded_d7169d64be407a3a30d7548d7bf90d0c.jpg
OPPO A3s	₱ 6,710.00	2	https://p.ipricegroup.com/uploaded_e9927353825a4f5e60a50a0369631d1d.jpg
OPPO A83	₱ 6,990.00	3	https://p.ipricegroup.com/uploaded_31f365fcbf6c96a55a01b69445f0619c.jpg
OPPO A37	₱ 4,990.00	2	https://p.ipricegroup.com/uploaded_fa7eccb676e7d8115d5cd5d7cfa81521.jpg
Xiaomi Pocophone F1	₱ 16,590.00	5	https://p.ipricegroup.com/uploaded_4526300e3c36a72c5cba02f42d22b268.jpg
OPPO F5	₱ 11,990.00	3	https://p.ipricegroup.com/uploaded_aa1c62a8426509d20f2b3e0c11704f93.jpg
vivo Y53	₱ 5,990.00	2	https://p.ipricegroup.com/uploaded_e553ef7fc11571eb1065199539b6bddc.jpg
Huawei Nova 2i	₱ 11,699.00	4	https://p.ipricegroup.com/uploaded_28e85dcc986fdc5a8a3fc2e9e3c99957.jpg
Huawei P20	₱ 29,990.00	5	https://p.ipricegroup.com/uploaded_be15a1d2f9ff3e960fd0eae8a7f1a4c0.jpg
Samsung Galaxy A6 (2018)	₱ 17,101.00	1	https://p.ipricegroup.com/uploaded_fa266b125d76f7e9b849a0aafcc3bd6f.jpg
Vivo V9	₱ 12,500.00	3	https://p.ipricegroup.com/uploaded_084310ff7b6e8b27be1ab02acbeea6d1.jpg
Samsung Galaxy A9	₱ 28,599.00	2	https://p.ipricegroup.com/uploaded_fd0586a91c830486042f22832c68bf6a.jpg
vivo V7		0	https://p.ipricegroup.com/40790233_0.jpg
Samsung Galaxy J8	₱ 13,720.00	5	https://p.ipricegroup.com/uploaded_251919948915c0880fe835a9355eb618.jpg
Vivo Y81	₱ 8,999.00	2	https://p.ipricegroup.com/uploaded_cdd310d65f9dc6902134da0b5d34ad78.jpg
Samsung Galaxy A6 Plus (2018)	₱ 14,999.00	2	https://p.ipricegroup.com/uploaded_c9e7c69742dd63442f9471e97122c0ac.jpg
Huawei P20 Pro	₱ 36,990.00	6	https://p.ipricegroup.com/uploaded_88e4d17a7d7a4c2da082f059c7c67b92.jpg
