		 Key (READ-ONLY) 	Value	 Key (READ-ONLY) __ Key (READ-ONLY) 
electronics	category	title	[[month]] [[year]] [[category]] Price in [[country]] | 價格比较網 iPrice HK	plp.electronics.default_category_title
electronics	category_gender	title	[[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.electronics.default_category_gender_title
electronics	brand_category	title	[[month]] [[year]] [[brand]] [[category]] Price in [[country]] | 價格比较網 iPrice HK	plp.electronics.default_brand_category_title
electronics	brand	title	[[month]] [[year]] [[brand]] Price in [[country]] | 價格比较網 iPrice HK	plp.electronics.default_brand_title
electronics	brand_gender	title	[[brand]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.electronics.default_brand_gender_title
electronics	brand_category_gender	title	[[brand]] [[category]] for [[gender]] | The best prices online in [[country]] | iPrice	plp.electronics.default_brand_category_gender_title
electronics	category	meta	[[month]] [[year]] Check out the best [[category]] price in [[country]]. Compare latest models, best prices, and reviews for [[category]] on iPrice HK! 查看和比較最新的價錢,規格,評價和用家意見在香港	plp.electronics.default_category_meta
electronics	category_gender	meta	Buy the newest [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.electronics.default_category_gender_meta
electronics	brand_category	meta	[[month]] [[year]] Check out the best [[brand]] [[category]] price in [[country]]. Compare latest models, best prices, and reviews for [[brand]] [[category]] on iPrice HK! 查看和比較最新的價錢,規格,評價和用家意見在香港	plp.electronics.default_brand_category_meta
electronics	brand	meta	[[month]] [[year]] Check out the best [[brand]] price in [[country]]. Compare latest models, best prices, and reviews for [[brand]] on iPrice HK! 查看和比較最新的價錢,規格,評價和用家意見在香港	plp.electronics.default_brand_meta
electronics	brand_gender	meta	Buy the newest [[brand]] products for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.electronics.default_brand_gender_meta
electronics	brand_category_gender	meta	Buy the newest [[brand]] [[category]] for [[gender]] with the latest sales & promotions ★ Find cheap offers ★ Browse our wide selection of products	plp.electronics.default_brand_category_gender_meta
electronics	category	h1	[[month]] [[year]] [[category]] Price [[country]] | iPrice HK new update	plp.electronics.default_category_h1
electronics	category_gender	h1	[[heading]]	plp.electronics.default_category_gender_h1
electronics	brand_category	h1	[[month]] [[year]] [[brand]] [[category]] Price [[country]] | iPrice HK	plp.electronics.default_brand_category_h1
electronics	brand	h1	[[month]] [[year]] [[brand]] Price [[country]] | iPrice HK	plp.electronics.default_brand_h1
electronics	brand_gender	h1	[[heading]]	plp.electronics.default_brand_gender_h1
electronics	brand_category_gender	h1	[[heading]]	plp.electronics.default_brand_category_gender_h1
electronics	search	title	%1$s - Buy %1$s online in %2$s | iPrice	plp.electronics.default_search_title
electronics	search	meta	Find, Compare & Buy %1$s for great prices online ★ Discover the latest %1$s trends and promotions. ✓ Large Selection ✓ Trusted Stores ✓ Best Offers	plp.electronics.default_search_meta
electronics	category_color	title	[[color]] [[category]] | The best prices online in [[country]] | iPrice	plp.electronics.default_category_color_title
