L0,Page Type,Template Type,Value,Key (READ-ONLY)
,,,%1$s - Kupon bulan %2$s,plp.electronics.default_store_og_title
,,,%1$s - Voucher & Kode Kupon bulan %2$s | %3$s,plp.electronics.default_store_title
,,,"Diskon terbaru %1$s bulan %2$s di iPrice %3$s. Hemat hingga 70%%, dapatkan penawaran terbaik. ✂ Penawaran Eksklusif ✂ Kode yang Terverifikasi",plp.electronics.default_store_meta
,,,[[store]],plp.electronics.default_store_heading
,,,Kode Promo [[heading]] [[country]],plp.electronics.default_store_h1
,,,Daftar Harga [[category]] Murah Terbaru [[month]] [[year]],plp.electronics.default_category_title
,,,[[category]] untuk [[gender]] | harga online terbaik di [[country]] | iPrice,plp.electronics.default_gender_category_title
,,,Daftar Harga [[category]] [[brand]] Terbaru [[month]] [[year]],plp.electronics.default_brand_category_title
,,,Daftar Harga produk [[brand]] Terbaru [[month]] [[year]],plp.electronics.default_brand_title
,,,[[brand]] untuk [[gender]] | harga online terbaik di [[country]] | iPrice,plp.electronics.default_brand_gender_title
,,,[[category]] [[brand]] untuk [[gender]] | harga online terbaik di [[country]] | iPrice,plp.electronics.default_brand_gender_category_title
,,,"([[month]]) ([[year]]) Daftar harga [[category]] baru & bekas termurah, bandingkan harga dari[[brand1]][[brand2]][[brand3]]",plp.electronics.default_category_meta
,,,Dapatkan [[category]] untuk [[gender]] terbaru dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami ,plp.electronics.default_gender_category_meta
,,,([[month]] [[year]]) Daftar harga [[category]] [[brand]] baru & bekas termurah di Indonesia. Bandingkan harga dan spesifikasi [[category]][[series1]][[series2]] [[series3]].,plp.electronics.default_brand_category_meta
,,,([[month]] [[year]]) Daftar harga produk [[brand]] baru & bekas termurah di Indonesia. Bandingkan harga dan spesifikasi[[category1]][[category2]] dan[[category3WithoutComma]] [[brand]].,plp.electronics.default_brand_meta
,,,Dapatkan produk [[brand]] untuk [[gender]] terbaru dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami,plp.electronics.default_brand_gender_meta
,,,Dapatkan [[category]] [[brand]] terbaru untuk [[gender]] dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami,plp.electronics.default_brand_gender_category_meta
,,,[[category]],plp.electronics.default_category_heading
,,,Harga [[category]] Murah Terbaru | [[month]] [[year]],plp.electronics.default_category_h1
,,,[[category]] untuk [[gender]],plp.electronics.default_gender_category_heading
,,,[[heading]],plp.electronics.default_gender_category_h1
,,,[[category]] [[brand]],plp.electronics.default_brand_category_heading
,,,Harga [[category]] [[brand]] Terbaru | [[month]] [[year]],plp.electronics.default_brand_category_h1
,,,[[brand]],plp.electronics.default_brand_heading
,,,Harga produk [[brand]] Terbaru [[month]] [[year]],plp.electronics.default_brand_h1
,,,[[brand]] untuk [[gender]],plp.electronics.default_brand_gender_heading
,,,[[heading]],plp.electronics.default_brand_gender_h1
,,,[[category]] [[brand]] untuk [[gender]],plp.electronics.default_brand_gender_category_heading
,,,[[heading]],plp.electronics.default_brand_gender_category_h1
,,,%1$s,plp.electronics.default_search_og_title
,,,%1$s - Beli %1$s online di %2$s | iPrice,plp.electronics.default_search_title
,,,"Cari, Bandingkan & Beli %1$s dengan harga terbaik online ★ Temukan promo & tren %1$s terbaru. ✓ Pilihan Terbanyak ✓ Toko Terpercaya ✓ Penawaran Terbaik",plp.electronics.default_search_meta
,,,Beli %1$s online di iPrice %2$s,plp.electronics.default_search_heading
,,,%1$s,plp.electronics.default_blog_og_title
,,,[[heading]] | iPrice [[country]],plp.electronics.default_blog_title
,,,%1$s,plp.electronics.default_blog_meta
,,,%1$s,plp.electronics.default_blog_heading
,,,[[category]] [[color]] | harga online terbaik di [[country]] | iPrice,plp.electronics.default_category_color_title
,,,Dapatkan [[category]] [[color]] terbaru dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami,plp.electronics.default_category_color_meta
,,,[[category]] [[color]],plp.electronics.default_category_color_heading
,,,[[heading]],plp.electronics.default_category_color_h1
,,,Produk warna [[color]] untuk [[gender]] | Harga online terbaik di [[country]] | iPrice,plp.electronics.default_gender_color_title
,,,Dapatkan produk warna [[color]] terbaru untuk [[gender]] dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami,plp.electronics.default_gender_color_meta
,,,Produk warna [[color]] untuk [[gender]],plp.electronics.default_gender_color_heading
,,,[[heading]],plp.electronics.default_gender_color_h1
,,,Produk warna [[color]] dari [[brand]] | harga online terbaik di [[country]] | iPrice,plp.electronics.default_brand_color_title
,,,Dapatkan produk warna [[color]] terbaru dari [[brand]] dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami,plp.electronics.default_brand_color_meta
,,,[[brand]] [[color]],plp.electronics.default_brand_color_heading
,,,[[heading]],plp.electronics.default_brand_color_h1
,,,Produk warna [[color]] dari [[brand]] untuk [[gender]] | harga online terbaik di [[country]] | iPrice,plp.electronics.default_brand_gender_color_title
,,,Dapatkan produk [[brand]] warna [[color]] terbaru untuk [[gender]] dengan diskon & promosi terkini ★ Temukan penawaran terbaik ★ Lihat rangkaian pilihan produk kami,plp.electronics.default_brand_gender_color_meta
,,,Produk warna [[color]] dari [[brand]] untuk [[gender]],plp.electronics.default_brand_gender_color_heading
,,,[[heading]],plp.electronics.default_brand_gender_color_h1
